,,,,,Emissions Factors,,,,
Description,Category,Location,Vendor,Unit,Source,Name,Amount (kg CO2e / unit),Activity Data 2019 total (measured in specified Unit),CO2e (kg)
Restaurant electricity,Building operations,San Francisco,PG&E,kWh,eGRID 2018,CAMX Electricity Grid,0.2394512168,"249,530.63","59,750.41"
Restaurant electricity,Building operations,Dayton,Dayton Power & Light,kWh,eGRID 2018,Ohio Electricity Grid,0.5639962928,"516,447.90","291,274.70"
Restaurant natural gas,Building operations,San Francisco,PG&E,mmBtu,EPA Emissions Factors,Natural gas,53.06,863.97,"45,842.25"
Restaurant natural gas,Building operations,Dayton,Dayton Power & Light,mmBtu,EPA Emissions Factors,Natural gas,53.06,We don't get billed directly so we don't know,
Waste sent to landfill,Waste,San Francisco,Recology,tons of waste,UK Government Emissions Factors,Municipal waste - landfill - short ton,646.52,170000,
Waste sent to compost,Waste,San Francisco,Recology,tons of waste,UK Government Emissions Factors,Organic food wase - composting - short ton,11.2479,16000,
Waste sent to recycling,Waste,San Francisco,Recology,tons of waste,UK Government Emissions Factors,Municipal solid waste - closed-loop recycling - short ton,23.5385,18000,
Waste sent to landfill,Waste,Dayton,Dayton Waste,tons of waste,UK Government Emissions Factors,Municipal waste - landfill - short ton,646.52,180000,
Waste sent to compost,Waste,Dayton,Dayton Waste,tons of waste,UK Government Emissions Factors,Organic food wase - composting - short ton,11.2479,14000,
Waste sent to recycling,Waste,Dayton,Dayton Waste,tons of waste,UK Government Emissions Factors,Municipal solid waste - closed-loop recycling - short ton,23.5385,16000,
Beef,Ingredient production,Dayton,Midwest Meat Inc,kg,Poore and Nemecek,Bovine Meat (beef herd),51.72,"30,000",
Tomatoes,Ingredient production,Dayton,California Organic Farmers,kg,Poore and Nemecek,Tomatoes,0.7,"11,000",
Lettuce,Ingredient production,Dayton,California Organic Farmers,kg,Poore and Nemecek,Other Vegetables,0.4,"40,000",
Bread,Ingredient production,Dayton,California Organic Farmers,kg,Poore and Nemecek,Wheat & Rye (Bread),1.28,"14,000",
